Rank,Location ID,Country or territory,Population aged 20+,Higher BMI sex,Potentially avoidable DALYs,DALYs lower,DALYs upper,"DALY rate per 100,000 adults aged 20+","DALYs, percent of total burden","DALYs, percent of observed high-BMI-attributable burden",Potentially avoidable deaths,Deaths lower,Deaths upper,"Death rate per 100,000 adults aged 20+","Deaths, percent of total burden","Deaths, percent of observed high-BMI-attributable burden"
1,6,China,1097983988,Female,1153.3,305.2,2843.1,0.105,0.327,7.2,45.9,12.1,114.7,0.0042,0.324,7.77
2,11,Indonesia,197528458,Female,492.1,58.7,2074.7,0.249,0.294,20.85,14.4,1.7,61.5,0.0073,0.28,22.5
3,18,Thailand,52665203,Female,460.1,59.5,1658.3,0.874,0.757,19.88,18.7,2.2,67.7,0.0355,0.804,21.58
4,13,Malaysia,23773607,Female,187.9,31.1,601.8,0.79,1.359,19.83,8.6,1.3,28.4,0.0362,1.538,24.76
5,16,Philippines,70277652,Female,161.8,32.7,485.8,0.23,0.681,21.65,6.3,1.2,19,0.0089,0.768,24.48
6,15,Myanmar,36425119,Female,83.7,7.2,391,0.23,0.415,31.06,2.7,0.2,12.9,0.0074,0.47,31.54
7,20,Viet Nam,70944211,Female,72.2,9.7,314.1,0.102,0.232,16.07,3.1,0.4,14.1,0.0043,0.269,19.96
8,8,Taiwan,19435166,Female,50.6,10.8,151.6,0.26,0.393,6.73,2.3,0.5,6.9,0.0117,0.409,7.66
9,17,Sri Lanka,15962623,Female,42.6,6.3,150.3,0.267,0.849,31.43,1.9,0.3,7.1,0.012,0.919,36.33
10,7,Democratic People's Republic of Korea,19895025,Female,29.5,3.6,118.4,0.148,0.392,8.07,1.3,0.2,5.4,0.0067,0.485,10.92
11,10,Cambodia,10676020,Female,22.7,1.5,118.2,0.213,0.541,37.86,0.9,0,4.5,0.008,0.607,42.81
12,26,Papua New Guinea,5860846,Female,14.2,2.1,50.3,0.243,0.758,8.77,0.5,0.1,1.8,0.0083,0.84,10.21
13,12,Lao People's Democratic Republic,4558086,Female,8.8,0.9,37.4,0.193,0.424,21.25,0.3,0,1.5,0.0073,0.496,26.14
14,22,Fiji,583065,Female,6.8,1.4,18.5,1.162,1.975,15.72,0.2,0,0.6,0.0355,1.844,14.48
15,29,Tonga,57239,Female,2.2,0.6,4.8,3.839,2.012,8.44,0.1,0,0.2,0.1299,1.884,8.34
16,28,Solomon Islands,456064,Female,1.7,0.2,6.4,0.374,0.395,6.87,0.1,0,0.2,0.0114,0.406,7.12
17,183,Mauritius,989066,Female,1.4,0.2,5,0.14,0.301,19.26,0.1,0,0.2,0.0062,0.38,21.76
18,14,Maldives,397298,Female,0.8,0.1,2.9,0.211,0.961,17.56,0,0,0.1,0.0093,1.034,21.71
19,30,Vanuatu,177587,Female,0.7,0.1,2.4,0.397,0.579,10.68,0,0,0.1,0.0128,0.656,11.98
20,27,Samoa,114564,Female,0.6,0.1,2.1,0.538,0.77,9.15,0,0,0.1,0.0178,0.781,9.13
21,23,Kiribati,72669,Female,0.6,0.1,1.8,0.835,1.26,16.64,0,0,0,0.0218,1.159,15.74
22,24,Marshall Islands,23576,Female,0.5,0.1,1.5,2.068,1.767,10.37,0,0,0,0.0623,1.733,9.85
23,25,Micronesia (Federated States of),62639,Female,0.4,0.1,1.4,0.633,0.559,14.73,0,0,0,0.0194,0.579,14.15
24,298,American Samoa,30548,Female,0.3,0.1,0.9,1.124,0.98,7.28,0,0,0,0.0343,0.939,6.93
25,376,Northern Mariana Islands,33102,Female,0.3,0.1,1,1.003,0.566,6.77,0,0,0,0.0331,0.581,6.74
26,19,Timor-Leste,765393,Female,0.3,0,1.8,0.043,0.153,18.23,0,0,0.1,0.0017,0.167,20.21
27,186,Seychelles,76185,Female,0.2,0,0.8,0.27,0.347,10.32,0,0,0,0.0126,0.458,13.61
28,351,Guam,110984,Male,0.2,0,0.4,0.148,0.129,1.7,0,0,0,0.0057,0.147,1.89
29,416,Tuvalu,6616,Female,0.1,0,0.4,1.879,1.513,12.06,0,0,0,0.0598,1.506,11.95
30,369,Nauru,6622,Female,0.1,0,0.3,1.818,1.394,7.29,0,0,0,0.0556,1.573,7.96
31,380,Palau,13570,Female,0.1,0,0.3,0.756,0.584,7.35,0,0,0,0.0323,0.724,8.98
32,320,Cook Islands,9760,Female,0.1,0,0.2,1.041,0.86,3.05,0,0,0,0.0396,0.853,3.3
33,374,Niue,1166,Female,0,0,0,1.152,1.206,8.51,0,0,0,0.0485,1.418,10.12
34,413,Tokelau,1054,Female,0,0,0,0.375,0.643,3.81,0,0,0,0.0127,0.569,3.56
