Rank,Location ID,Country or territory,"SDI, 2023","High BMI DALY number, 30+","High FPG DALY number, 30+","Smoking DALY number, 30+","High BMI internal standardized DALY rate, 30+","High FPG internal standardized DALY rate, 30+","Smoking internal standardized DALY rate, 30+","High BMI PAF, 30+ (%)","High FPG PAF, 30+ (%)","Smoking PAF, 30+ (%)",Dominant factor by rate,High BMI vs high FPG rate ratio,High BMI vs smoking rate ratio
1,29,Tonga,0.636,25.7,25.8,8.6,68,69.97,23.23,24.14,24.25,8.12,high_fpg,0.972,2.927
2,369,Nauru,0.626,1.6,1.2,0.6,47.09,40.23,19.67,19.79,14.35,7.64,high_bmi,1.171,2.394
3,320,Cook Islands,0.777,3.3,3.7,1,38.88,42.88,12.08,28.28,31.43,8.86,high_fpg,0.907,3.218
4,24,Marshall Islands,0.605,4.6,7.2,1.5,34.85,60.5,11.11,17.48,27.06,5.5,high_fpg,0.576,3.137
5,416,Tuvalu,0.611,1,0.7,0.4,23.49,17.9,9.06,12.87,9.2,4.83,high_bmi,1.312,2.591
6,376,Northern Mariana Islands,0.791,4.8,5.8,1.6,19.68,25.52,6.56,8.57,10.27,2.9,high_fpg,0.771,3.001
7,298,American Samoa,0.743,4.6,5.3,1.3,19.56,23.82,5.57,13.72,15.81,3.85,high_fpg,0.821,3.513
8,374,Niue,0.748,0.2,0.2,0,15.74,17.63,4.3,14.38,16.56,3.96,high_fpg,0.893,3.661
9,413,Tokelau,0.75,0.1,0.1,0,13.38,16.25,5.49,17.23,21.17,6.98,high_fpg,0.823,2.437
10,380,Palau,0.756,1.4,1.7,0.5,12.86,16.16,4.93,8.12,9.86,3.15,high_fpg,0.796,2.611
11,22,Fiji,0.686,42.3,61.1,18.2,10.91,16.6,4.79,12.79,18.48,5.52,high_fpg,0.657,2.276
12,351,Guam,0.812,9.4,10.4,4,10.42,11.3,4.42,7.71,8.52,3.29,high_fpg,0.922,2.357
13,28,Solomon Islands,0.458,24.3,15.9,17.7,9.72,7.52,7.77,5.95,3.89,4.33,high_bmi,1.293,1.251
14,27,Samoa,0.604,6.6,8,2.9,8.58,10.62,3.77,8.76,10.55,3.79,high_fpg,0.808,2.278
15,23,Kiribati,0.543,3.4,3.9,1.9,7.82,10.07,4.69,7.81,8.95,4.35,high_fpg,0.776,1.665
16,25,Micronesia (Federated States of),0.597,2.6,3.1,1.3,6.73,8.46,3.29,3.92,4.55,1.89,high_fpg,0.795,2.043
17,13,Malaysia,0.77,939.3,2497.4,677.1,6.43,17.93,4.73,6.87,18.28,4.96,high_fpg,0.359,1.358
18,30,Vanuatu,0.477,6.5,7.9,2.4,6.13,8.14,2.39,5.68,6.92,2.1,high_fpg,0.753,2.564
19,26,Papua New Guinea,0.437,154.5,157.9,109.5,5.04,6.18,3.81,8.8,8.99,6.24,high_fpg,0.816,1.323
20,18,Thailand,0.687,2290.8,4254.9,2586.1,4.73,8.45,5.27,3.81,7.08,4.3,high_fpg,0.56,0.897
21,8,Taiwan,0.882,746.4,1806.6,541.1,4.09,9.47,3.08,5.84,14.13,4.23,high_fpg,0.431,1.328
22,186,Seychelles,0.753,2,4.6,1.9,3.4,8.19,3.23,3.37,7.86,3.18,high_fpg,0.414,1.051
23,14,Maldives,0.661,4.7,7.3,7.4,2.89,5.7,5.35,5.55,8.57,8.66,high_fpg,0.507,0.54
24,7,Democratic People's Republic of Korea,0.577,360.8,715.1,396.9,2.33,4.82,2.52,4.89,9.68,5.37,high_fpg,0.484,0.927
25,16,Philippines,0.669,734.2,1694.8,1192.2,1.77,4.51,2.98,3.2,7.38,5.19,high_fpg,0.394,0.596
26,6,China,0.728,15920.6,47108.1,27774.8,1.62,4.69,2.82,4.56,13.48,7.95,high_fpg,0.345,0.574
27,12,Lao People's Democratic Republic,0.515,40.7,85.1,90.7,1.59,3.9,3.74,2.06,4.32,4.6,high_fpg,0.407,0.424
28,11,Indonesia,0.666,2289.5,5095.2,5701.2,1.56,4.02,4.22,1.45,3.22,3.6,smoking,0.388,0.369
29,15,Myanmar,0.532,264.1,894.5,506.8,1.08,4.05,2.17,1.37,4.65,2.64,high_fpg,0.268,0.499
30,17,Sri Lanka,0.731,134.5,488,153.9,1.06,3.74,1.19,2.72,9.87,3.11,high_fpg,0.282,0.891
31,10,Cambodia,0.5,59.2,69.3,126.3,0.89,1.14,1.93,1.46,1.71,3.12,smoking,0.782,0.463
32,183,Mauritius,0.736,7.1,18.2,4.2,0.87,2.23,0.52,1.57,4.04,0.93,high_fpg,0.391,1.693
33,20,Viet Nam,0.643,445.4,1278,2487.1,0.87,2.63,4.86,1.46,4.18,8.13,smoking,0.33,0.178
34,19,Timor-Leste,0.485,1.7,4.2,7.4,0.4,1.07,1.85,0.85,2.1,3.68,smoking,0.379,0.219
