zip_file,entry_name,uncompressed_bytes,compressed_bytes
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S1_Y2025M07D30.XLSX,152492,140399
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S2A_Y2025M07D30.XLSX,168362,164960
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S2B_Y2025M07D30.XLSX,168593,165165
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S2C_Y2025M07D30.XLSX,168864,165509
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S3A_Y2025M07D30.XLSX,224661,218163
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S3B_Y2025M07D30.XLSX,223002,216977
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S3C_Y2025M07D30.XLSX,227239,220221
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S4A_Y2025M07D30.XLSX,159766,156491
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S4B_Y2025M07D30.XLSX,159976,156848
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S4C_Y2025M07D30.XLSX,159972,156805
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S5A_Y2025M07D30.XLSX,181802,178843
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S5B_Y2025M07D30.XLSX,181396,178197
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S5C_Y2025M07D30.XLSX,180742,177504
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S6A_Y2025M07D30.XLSX,253385,250964
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S6B_Y2025M07D30.XLSX,254062,251513
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S6C_Y2025M07D30.XLSX,245402,242537
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLES.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_APPENDIX_2_TABLE_S7_Y2025M07D30.XLSX,130776,109261
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY_INPUT_DATA_1950_1983_Y2025M06D09.CSV,159350784,27555192
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY_INPUT_DATA_1984_1993_Y2025M06D09.CSV,178314535,29270346
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY_INPUT_DATA_1994_2001_Y2025M06D09.CSV,162220403,26654190
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY_INPUT_DATA_2002_2012Y2025M06D09.CSV,192334004,31468387
IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY.zip,IHME_GBD_2023_DEMOGRAPHICS_1950_2023_MORTALITY_INPUT_DATA_2013_2023_Y2025M06D09.CSV,119213381,20026426
IHME_GBD_2023_DEMOGRAPHICS_1990_2023_STILLBIRTHS.zip,IHME_GBD_2023_DEMOGRAPHICS_1990_2023_STILLBIRTHS_INPUT_DATA_Y2025M10D01.CSV,2761013,353787
IHME_GBD_2023_DEMOGRAPHICS_1990_2023_STILLBIRTHS.zip,IHME_GBD_2023_DEMOGRAPHICS_1990_2023_STILLBIRTHS_Y2025M10D01.CSV,25860324,6655571
