project_location_name,wpp_location_name,wpp_matched
American Samoa,American Samoa,True
Cambodia,Cambodia,True
China,China,True
Cook Islands,Cook Islands,True
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True
Fiji,Fiji,True
Guam,Guam,True
Indonesia,Indonesia,True
Kiribati,Kiribati,True
Lao People's Democratic Republic,Lao People's Democratic Republic,True
Malaysia,Malaysia,True
Maldives,Maldives,True
Marshall Islands,Marshall Islands,True
Mauritius,Mauritius,True
Micronesia (Federated States of),Micronesia (Fed. States of),True
Myanmar,Myanmar,True
Nauru,Nauru,True
Niue,Niue,True
Northern Mariana Islands,Northern Mariana Islands,True
Palau,Palau,True
Papua New Guinea,Papua New Guinea,True
Philippines,Philippines,True
Samoa,Samoa,True
Seychelles,Seychelles,True
Solomon Islands,Solomon Islands,True
Sri Lanka,Sri Lanka,True
Taiwan,"China, Taiwan Province of China",True
Thailand,Thailand,True
Timor-Leste,Timor-Leste,True
Tokelau,Tokelau,True
Tonga,Tonga,True
Tuvalu,Tuvalu,True
Vanuatu,Vanuatu,True
Viet Nam,Viet Nam,True
