project_location_name,wpp_location_name,wpp_matched,year,LocID,ISO3_code,wpp_population_20plus,wpp_male_population_20plus,wpp_female_population_20plus,internal_proxy_population_20plus_2023,absolute_difference_internal_minus_wpp,relative_difference_pct
American Samoa,American Samoa,True,2023,16,ASM,29704.0,14985.0,14725.0,30547.910840435925,843.9108404359249,2.841068005776747
Cambodia,Cambodia,True,2023,116,KHM,10571746.000000002,5037801.0,5533949.000000001,10676020.071228107,104274.07122810557,0.9863467323950609
China,China,True,2023,156,CHN,1105100641.0,555174684.0,549925959.0,1097983988.0786433,-7116652.921356678,-0.6439823358456163
Cook Islands,Cook Islands,True,2023,184,COK,9526.0,4546.0,4983.0,9760.308064241746,234.30806424174625,2.459668950679679
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True,2023,408,PRK,19742730.0,9635032.0,10107703.0,19895024.609391384,152294.60939138383,0.7713958980920259
Fiji,Fiji,True,2023,242,FJI,590216.0,290043.0,300171.0,583065.3858940509,-7150.614105949062,-1.2115249511956745
Guam,Guam,True,2023,316,GUM,111274.0,55979.0,55293.0,110984.247240527,-289.7527594730054,-0.2603957433659304
Indonesia,Indonesia,True,2023,360,IDN,187999412.0,93439533.0,94559877.0,197528457.8278283,9529045.827828288,5.068657250815384
Kiribati,Kiribati,True,2023,296,KIR,74406.0,34949.0,39461.0,72668.90328973322,-1737.0967102667782,-2.334619130536218
Lao People's Democratic Republic,Lao People's Democratic Republic,True,2023,418,LAO,4591264.0,2286711.0000000005,2304558.0,4558085.877322754,-33178.12267724611,-0.7226359163238295
Malaysia,Malaysia,True,2023,458,MYS,24444551.0,12878760.0,11565794.0,23773606.99089723,-670944.0091027692,-2.7447589816755857
Maldives,Maldives,True,2023,462,MDV,389919.0,253934.0,135987.0,397297.5850032146,7378.585003214597,1.892337896643815
Marshall Islands,Marshall Islands,True,2023,584,MHL,20662.0,10482.0,10185.0,23576.21298657162,2914.2129865716197,14.104215403018197
Mauritius,Mauritius,True,2023,480,MUS,991761.0,497272.99999999994,494489.0,989066.248836878,-2694.7511631220113,-0.2717137660305266
Micronesia (Federated States of),Micronesia (Fed. States of),True,2023,583,FSM,64795.99999999999,31543.0,33250.0,62639.346209809,-2156.6537901909905,-3.328374884546871
Myanmar,Myanmar,True,2023,104,MMR,36432335.0,17880210.0,18552126.0,36425118.575830795,-7216.424169205129,-0.019807745425060263
Nauru,Nauru,True,2023,520,NRU,6202.0,3111.0,3094.0,6621.975974245357,419.97597424535707,6.771621642137328
Niue,Niue,True,2023,570,NIU,1246.0,598.0,653.0,1165.79479060576,-80.20520939424,-6.437015200179776
Northern Mariana Islands,Northern Mariana Islands,True,2023,580,MNP,31087.0,16403.0,14687.0,33102.23012546578,2015.2301254657796,6.482549379051628
Palau,Palau,True,2023,585,PLW,13272.0,7252.0,6029.0,13570.46427976271,298.46427976270934,2.2488267010451275
Papua New Guinea,Papua New Guinea,True,2023,598,PNG,5844505.0,2981449.0,2863057.0,5860845.960979017,16340.960979017429,0.27959529470874656
Philippines,Philippines,True,2023,608,PHL,70869805.0,34915010.0,35954794.0,70277651.75627588,-592153.2437241226,-0.8355508297562306
Samoa,Samoa,True,2023,882,WSM,111508.0,54923.0,56588.0,114563.89655610402,3055.896556104024,2.740517771015554
Seychelles,Seychelles,True,2023,690,SYC,94310.0,53410.0,40898.0,76184.53829758406,-18125.461702415938,-19.219024178152836
Solomon Islands,Solomon Islands,True,2023,90,SLB,419391.0,212574.0,206820.0,456063.5743127903,36672.5743127903,8.744244467046336
Sri Lanka,Sri Lanka,True,2023,144,LKA,16029881.0,7587599.0,8442285.0,15962623.274750927,-67257.72524907254,-0.41957719616928246
Taiwan,"China, Taiwan Province of China",True,2023,158,TWN,19497201.0,9568093.0,9929106.0,19435165.51084975,-62035.48915024847,-0.31817638413969507
Thailand,Thailand,True,2023,764,THA,56531438.0,27147971.0,29383467.0,52665202.77456117,-3866235.2254388332,-6.839088765863047
Timor-Leste,Timor-Leste,True,2023,626,TLS,751654.0,376559.0,375096.0,765392.6072831368,13738.607283136807,1.8277834326880196
Tokelau,Tokelau,True,2023,772,TKL,1524.0,728.0,801.0,1053.6543270941966,-470.34567290580344,-30.86257696232306
Tonga,Tonga,True,2023,776,TON,55798.0,24624.0,31171.0,57238.69512220295,1440.695122202953,2.581983444214762
Tuvalu,Tuvalu,True,2023,798,TUV,5758.0,2883.0,2879.0,6616.141026591107,858.1410265911072,14.903456522943856
Vanuatu,Vanuatu,True,2023,548,VUT,166323.0,82501.0,83826.00000000001,177587.4449384936,11264.444938493602,6.772632130549354
Viet Nam,Viet Nam,True,2023,704,VNM,69528661.0,33345864.0,36182798.0,70944210.70067607,1415549.7006760687,2.0359225682140902
